company,priority,careers_url,kind,external_job_hosts
NewsWhip,3,https://sproutsocial.com/careers/,javascript_rendered,
SoapBox Labs,3,https://www.curriculumassociates.com/about/ailabs,javascript_rendered,
SumUp,3,https://www.sumup.com/careers/,javascript_rendered,
Aiden,4,https://aiden.ai/careers,javascript_rendered,
Artomatix,4,https://tampandanrupawan.jimdofree.com/,javascript_rendered,
Chargebee Ireland,4,https://www.chargebee.com/careers/,javascript_rendered,
Chill Insurance,4,https://www.chill.ie/company/careers/,javascript_rendered,
Cora Systems,4,https://corasystems.com/careers,javascript_rendered,
Deposify,4,https://us.deposify.com,javascript_rendered,
Fitzwilliam Hotel Group,4,https://fitzwilliamhotel.com/careers,javascript_rendered,
Green REIT,4,https://expireddomains.com/domain/greenreitplc.com?utm_source=redi,javascript_rendered,
Kianda,4,https://careers.kianda.com,javascript_rendered,
Nova Leah,4,https://novaleah.com/cgi-sys/suspendedpage.cgi,javascript_rendered,
Utmost,4,https://utmost.io/careers,javascript_rendered,
Wombat Invest,4,https://wombat.co.uk/careers,javascript_rendered,
Xanadu Consultancy,4,https://xanadu.ie/careers/,javascript_rendered,
An Post,1,https://www.anpost.com/,static_page_no_listings,
Apple,1,https://www.apple.com/careers/us/,static_page_no_listings,
Dublin City University,1,https://www.dcu.ie/careers,static_page_no_listings,
Health Service Executive,1,https://about.hse.ie/jobs/job-search/,static_page_no_listings,
HubSpot,1,https://www.hubspot.com/careers,static_page_no_listings,
A&L Goodbody,2,https://www.algoodbody.com/careers?roles=business-services,static_page_no_listings,
Aircraft Leasing - AerCap,2,https://www.aercap.com/careers/life-at-aercap,static_page_no_listings,
Block,2,https://block.xyz/careers/jobs,static_page_no_listings,
Bolt,2,https://bolt.eu/en/careers/,static_page_no_listings,
Checkout.com,2,https://www.checkout.com/jobs,static_page_no_listings,
Cognizant,2,https://careers.cognizant.com/uki-en/,static_page_no_listings,
Dalata Hotel Group,2,https://dalatahotelgroup.com/careers/,static_page_no_listings,
Databricks,2,https://www.databricks.com/company/careers,static_page_no_listings,
Enterprise Ireland,2,https://www.enterprise-ireland.com/en/careers-at-enterprise-ireland,static_page_no_listings,
Fexco,2,https://www.fexco.com/careers/,static_page_no_listings,
Gas Networks Ireland,2,https://www.gasnetworks.ie/about/careers,static_page_no_listings,
Jones Engineering,2,https://joneseng.com/careers/current-opportunities/,static_page_no_listings,
McCann FitzGerald,2,https://www.mccannfitzgerald.com/careers,static_page_no_listings,
Mercury Engineering,2,https://www.mercuryeng.com/careers/,static_page_no_listings,
Revenue Commissioners,2,https://www.revenue.ie/careers,static_page_no_listings,
Shopify,2,https://www.shopify.com/careers,static_page_no_listings,
Uisce Eireann,2,https://www.water.ie/about/careers,static_page_no_listings,
University of Limerick,2,https://www.ul.ie/vacancies,static_page_no_listings,
William Fry,2,https://www.williamfry.com/careers/,static_page_no_listings,
Zurich Insurance,2,https://www.zurich.ie/careers/,static_page_no_listings,
Aerogen,3,https://www.aerogen.com/careers-,static_page_no_listings,
Almac Group,3,https://www.almacgroup.com/careers/,static_page_no_listings,
Atlantic Technological University,3,https://www.atu.ie/connect/jobs,static_page_no_listings,
Atos,3,https://atos.net/en/join-us,static_page_no_listings,
Bus Eireann,3,https://careers.buseireann.ie,static_page_no_listings,
Cantor Fitzgerald Ireland,3,https://cantorfitzgerald.ie/careers/,static_page_no_listings,
Canva,3,https://www.lifeatcanva.com/en/,static_page_no_listings,
Codec,3,https://www.codec.ie/careers,static_page_no_listings,
Cork City Council,3,https://www.corkcity.ie/en/council-services/careers/,static_page_no_listings,
Electronic Arts,3,https://www.ea.com/careers,static_page_no_listings,
Enet,3,https://www.enet.ie/careers/,static_page_no_listings,
Escher Group,3,https://www.eschergroup.com/,static_page_no_listings,
Failte Ireland,3,https://www.failteireland.ie/en/about/work-with-us,static_page_no_listings,
HSBC,3,https://www.hsbc.com/careers,static_page_no_listings,
IMC Trading,3,https://www.imc.com/eu/,static_page_no_listings,
IPUT Real Estate,3,https://www.iput.com/careers/,static_page_no_listings,
Integra LifeSciences,3,https://www.integralife.com/careers,static_page_no_listings,
ManpowerGroup Ireland,3,https://www.manpower.ie/,static_page_no_listings,
Netwatch,3,https://netwatchglobal.ai/career/,static_page_no_listings,
Open Eir,3,https://www.openeir.ie/careers,static_page_no_listings,
Rapid7,3,https://careers.rapid7.com/,static_page_no_listings,
Ronan Daly Jermyn,3,https://www.rdj.ie/careers,static_page_no_listings,
Stena Line Ireland,3,https://stenaline.com/career/,static_page_no_listings,
SuperValu,3,https://supervalu.ie/careers,static_page_no_listings,
Supermac's,3,https://supermacs.ie/careers/,static_page_no_listings,
Teagasc,3,https://teagasc.ie/about/opportunities/,static_page_no_listings,
The Irish Times,3,https://www.recruitireland.com/,static_page_no_listings,
Tourism Ireland,3,https://www.tourismireland.com/careers,static_page_no_listings,
Verizon,3,https://mycareer.verizon.com/,static_page_no_listings,
VoxPro,3,https://voxprogroup.com/,static_page_no_listings,
Ancestry Ireland,4,https://careers.ancestry.com,static_page_no_listings,
Bewley's,4,https://bewleys.com/,static_page_no_listings,
Business Post,4,https://www.businesspost.ie/tech/anthropics-dublin-office-hunt-reveals-huge-ambitions-for-irish-jobs/,static_page_no_listings,
Danalto,4,https://www.danalto.com/news_category/careers/,static_page_no_listings,
Dublin Institute for Advanced Studies,4,https://www.dias.ie/vacancies/,static_page_no_listings,
Flahavan's,4,https://www.flahavans.ie/2026/06/30/were-hiring-brand-manager-at-flahavans/,static_page_no_listings,
Grid Finance,4,https://www.gridfinance.ie/about-us/,static_page_no_listings,
HealthBeacon,4,https://healthbeacon.com/careers/,static_page_no_listings,
Logentries,4,https://careers.rapid7.com/,static_page_no_listings,
Luzern eCommerce,4,https://www.luzern.co/company/careers/,static_page_no_listings,
Met Eireann,4,https://www.met.ie/about-us/vacancies,static_page_no_listings,
Pointy,4,https://support.google.com/business/answer/9934993?utm_campaign=landingpage,static_page_no_listings,
PrecisionBiotics,4,https://precisionbiotics.ie/,static_page_no_listings,
RSM Ireland,4,https://www.rsm.global/working-for-rsm,static_page_no_listings,
Restored Hearing,4,https://lios-group.com/,static_page_no_listings,
Sedicii,4,https://sedicii.com/about/about-sedicii/careers/,static_page_no_listings,
Sports Interactive Ireland,4,https://privacy.sega.com/en/application-for-employment-andor-temporaryagency-work-the-notice,static_page_no_listings,
Vidatec,4,https://vidatec.com/careers/,static_page_no_listings,
VideoDoc,4,https://videodoc.ie/careers/,static_page_no_listings,
Voxgig,4,https://voxgig.com/jobs,static_page_no_listings,
Waterford Technologies,4,https://complykey.com,static_page_no_listings,
